word,count
the,20
spark,8
of,8
a,8
api,6
in,6
distributed,5
rdd,5
is,5
data,5
on,4
dataset,4
apache,4
rdds,4
as,4
programs,3
was,3
for,3
and,3
an,3
map,2
x,2
programming,2
represent,2
maintained,2
its,2
developed,2
foundation,2
function,2
cluster,2
mapreduce,2
interface,2
that,2
results,2
has,2
to,2
disk,2
which,2
still,1
input,1
dag,1
even,1
codebase,1
university,1
set,1
originally,1
not,1
deprecated,1
particular,1
form,1
by,1
reduction,1
amplab,1
technology,1
provides,1
top,1
architectural,1
workflow,1
response,1
open-source,1
with,1
donated,1
read,1
fault-tolerant,1
inside,1
later,1
software,1
graph,1
nodes,1
resilient,1
but,1
managed,1
encouraged,1
use,1
shared,1
edges,1
it,1
items,1
reduce,1
parallelism,1
while,1
tolerance,1
across,1
followed,1
computing,1
httpsenwikipediaorgwikiapache_spark,1
from,1
analytics,1
directed,1
linear,1
clusters,1
operations,1
abstraction,1
large-scale,1
fault,1
store,1
restricted,1
california,1
dataflow,1
paradigm,1
over,1
released,1
berkeleys,1
at,1
way,1
dataframe,1
were,1
working,1
application,1
primary,1
sparks,1
read-only,1
forces,1
structure,1
implicit,1
acyclic,1
though,1
unified,1
engine,1
processing,1
since,1
limitations,1
memory,1
deliberately,1
offers,1
multiset,1
machines,1
underlies,1
